name,industry,headquarters,fortune_500_rank,notes,traded_as,founded,key_people,revenue,employees,website,wikipedia_url,subsidiaries,founders,services,type
Xilinx,Integrated circuits,"San Jose, California, U.S.",,,Nasdaq: XLNX,1984; 40 years ago (1984)[1],"['Dennis Segers (chairman)', 'Victor Peng (president, CEO)', 'Brice Hill (CFO)[2]', 'Ivo Bolsens (CTO)']",US$3.15 billion (2021)[3],"4,890 (April 2021)[3]",www.xilinx.com,https://en.wikipedia.org/wiki/Xilinx,,"['James V. Barnett II', 'Ross Freeman', 'Bernie Vonderschmitt']",,
Bloom Energy,alternative energy industry,"North San Jose Innovation District, San Jose, California, USA",,,NYSE: BE (Class A)Russell 2000 Index component,2001,"['K.R. Sridhar (founder', 'CEO)']",$1.199 billion [1] (2022),"1,700[3]",www.bloomenergy.com,https://en.wikipedia.org/wiki/Bloom_Energy,,,,
Chevron,EnergyOil and gas,"Houston, Texas, U.S.[4]",15.0,,NYSE: CVXDJIA componentS&P 100 componentS&P 500 component,"September 10, 1879; 145 years ago (1879-09-10) as ""Pacific Coast Oil Co."" in Los Angeles, California[3]",['Mike Wirth(chairman and CEO)[5]'],US$200.9 billion (2023),"45,600 (December 2023)",chevron.com,https://en.wikipedia.org/wiki/Chevron_Corporation,"['Chevron Phillips Chemical', 'Chevron Sri Lanka']","['Charles N. Felton', 'Lloyd Tevis']",,
Cupertino Electric,"Electrical engineering, design and construction","1132 North Seventh Street  San Jose, California, United States",,,,"1954 (1954) in Cupertino, California[3]","['Tom Schott', 'President and CEO[3]']",$1.3 billion (2018),,cei.com,https://en.wikipedia.org/wiki/Cupertino_Electric,,,"['electrical engineering and construction', 'consulting', 'electrical services', 'procurement']",
Energy Recovery Inc.,"Water, CO2 Refrigeration","San Leandro, California",,,Nasdaq: ERIIRussell 2000 Component,1992; 32 years ago (1992),['David Moon (CEO)'],"$128,349,000 (2023)[1]",269 (2023)[2],energyrecovery.com,https://en.wikipedia.org/wiki/Energy_Recovery_Inc.,,,,
Mosaic Inc.,Financing,"601 12th Street, Suite 325, Oakland, California, 94607 U.S.",,solar power crowdfunding,,2010,['Patrick Moore — CEO[1]Dan Budington — CFOBilly Parish — Founder & Executive Chair of Board'],,,joinmosaic.com,https://en.wikipedia.org/wiki/Mosaic_Inc.,,,,
PG&E,ElectricityNatural gas,"300 Lakeside DriveOakland, California, U.S.",189.0,,NYSE: PCGS&P 500 component,1905; 119 years ago (1905),"['PG&E Corporation:', 'Robert Flexon (chairman)', 'Patti Poppe (CEO)', 'Carolyn Burke (EVP & CFO)', 'Pacific Gas & Electric Company:', 'Sumeet Singh (EVP & COO)', 'Peter Kenny (SVP, Electric)', 'Joseph Forline (SVP, Gas)']",US$24.43 billion (2023),"c. 28,000 (2023)",pgecorp.com,https://en.wikipedia.org/wiki/Pacific_Gas_and_Electric_Company,,,,
Rosendin Electric,Construction,"San Jose, California, San Jose, California, United States",,,,1919,"['Keith Douglas', 'CEO\nHank Brasch', 'CAO Axelle Giradot', 'CSO Matthew Hisaka', 'CFO']",$2.9 Billion USD,"7,000+",rosendin.com,https://en.wikipedia.org/wiki/Rosendin_Electric,,,,
SolarCity,Solar energy generation,"Fremont, California, United States",,,Nasdaq: SCTY (2012–2016),"July 4, 2006; 18 years ago (2006-07-04)","['Lyndon Rive (CEO)', 'Peter Rive (CTO)', 'Elon Musk (Chairman)']",,,solarcity.com (defunct),https://en.wikipedia.org/wiki/SolarCity,,['Lyndon and Peter Rive'],,
SunEdison,Renewable energy,"Maryland Heights, Missouri, United States",,,,1959,"['John S. Dubel', 'chief executive officer and chief restructuring officerRichard Katz', 'chairman and chief executive officer of reorganized SunEdison']",US$2.484 billion (2014)[1],"7,300 (2014)[1]",www.sunedison.com,https://en.wikipedia.org/wiki/SunEdison,,,,
Sungevity,Energy,Oakland,,,,,['Danny Kennedy — Co-Founder;\nKyle Udseth; CEO'],,,Sungevity.com,https://en.wikipedia.org/wiki/Sungevity,,,,
SunPower,Renewable energy,"Richmond, California, United States",,,Nasdaq: SPWR,1985; 39 years ago (1985),['Tom Werner (Principal Executive Officer)'],"US$1,741 million (2022)","4,710 (2022)",sunpower.com,https://en.wikipedia.org/wiki/SunPower,,,,
Sunrun,Renewable energy,"225 Bush Street, San Francisco, California, U.S.",,,Nasdaq: RUNS&P 600 component,2007; 17 years ago (2007),"['Mary Powell (CEO)', 'Lynn Jurich (co-chair)', 'Edward Fenster (co-chair)']",US$2.32 billion (2022),"12,408 (2022)",www.sunrun.com,https://en.wikipedia.org/wiki/Sunrun,,,,
DPR Construction,Engineering and construction,"Redwood City, California, United States",,,,1990,"['George Pfeffer', 'Greg Haldeman', 'Jody Quinton', 'Mark Whitson', 'Atul Khanzode', 'Michele Leiva', 'Mike Humphrey', 'Dave Seastrom and Matt Hoglund']",$6.8 billion (2021),"9,000",www.dpr.com,https://en.wikipedia.org/wiki/DPR_Construction,,,"['Construction management', 'building information modeling', 'integrated project delivery']",
Granite Construction,EngineeringConstructionQuarries,"Watsonville, California, U.S.",,,NYSE: GVAS&P 600 component,1922 (1922),['Kyle Larkin(President & CEO)  Lisa Curtis (CFO)   James Radich (COO)'],$3.01 billion (2021)[1],"4,200[2] (2018)",graniteconstruction.com,https://en.wikipedia.org/wiki/Granite_Construction,,,,
Katerra,Construction,"Menlo Park, California, United States",,,,2015,['Paal Kibsgaard (CEO)'],Bankrupt (Under Liquidation)[1],"7,500 (2018)[2]",katerra.com,https://en.wikipedia.org/wiki/Katerra,,,,
Swinerton,"General contracting, green building","Concord, California",,,,1888,"['Eric Foster', 'CEO & Chairman']",,"4,672[1]",www.swinerton.com,https://en.wikipedia.org/wiki/Swinerton,,,,
Webcor Builders,Engineering and construction,"207 King Street, Suite 300San Francisco, California 94107",,,,1971,"['Matt Rossie', 'President/CEOMatt Reece', 'Sr. EVP/CFO/CAO[1]']",,911 (2014),www.webcor.com,https://en.wikipedia.org/wiki/Webcor_Builders,,,,
American Zoetrope,Motion picturesTelevision,"San Francisco, California, United States",,,,"December 12, 1969; 54 years ago (1969-12-12)",,,,zoetrope.com,https://en.wikipedia.org/wiki/American_Zoetrope,,,,
Capcom U.S.A.,Video games,"Chūō-ku, Osaka, Japan",,,TYO: 9697,"May 30, 1979; 45 years ago (1979-05-30)[1]","['Kenzo Tsujimoto (Chairman and CEO)', 'Haruhiro Tsujimoto (President and COO)']",¥110.1 billion (2022)[2],"3,531 (2024)[4]",www.capcom.com,https://en.wikipedia.org/wiki/Capcom,"['Capcom U.S.A.Capcom EuropeCapcom TaiwanCapcom SingaporeCapcom Maintenance Service Co.', 'Ltd.Enterrise Co.', 'Ltd.K2 Co.', 'Ltd.Swordcanes Studio Co.', 'Ltd.Minimum Studios Co.', 'Ltd. Adelion Co.', 'Ltd.Capcom Asia Co.', 'Ltd.Leostar Co.', 'Ltd.Capcom Entertainment Germany GmbH.Capcom Entertainment France SASCapcom Pictures Inc.']",,,
Crunchyroll,Entertainmentmass media,"San Francisco, California, U.S.",,,,"May 14, 2006; 18 years ago (2006-05-14)",,,,,https://en.wikipedia.org/wiki/Crunchyroll,,,"['Film production', 'film distribution', 'television production', 'television distribution']",
Dolby Laboratories,Audio encoding/compressionAudio noise reduction,"Civic Center, San Francisco, California, U.S.",,,NYSE: DLB (Class A)S&P 400 component,"May 18, 1965; 59 years ago (1965-05-18) in London, England","['Peter Gotcher', '(executive chairman)', 'Kevin Yeaman', '(president and CEO)']",US$1.27 billion (2024),"2,080 (2024)",dolby.com,https://en.wikipedia.org/wiki/Dolby_Laboratories,"['Audistry', 'Doremi Labs', 'Via Licensing']",,['Dolby Cinema'],
Electronic Arts,Video games,"Redwood City, California, US",,,Nasdaq: EANasdaq-100 componentS&P 500 component,"May 27, 1982; 42 years ago (1982-05-27) in San Mateo, California, US","['Andrew Wilson (CEO and chairman)', 'Laura Miele (president of EA Entertainment)', 'Cam Weber (president of EA Sports)']",US$7.56 billion (2024),"c. 13,700 (2024)",ea.com,https://en.wikipedia.org/wiki/Electronic_Arts,['See §\xa0Company structure'],,,
Industrial Light & Magic,Visual effectsComputer graphicsComputer animationStereo conversion,"1110 Gorgas Ave. Letterman Digital Arts Center,Presidio of San Francisco, California, 94129 United States",,,,"May 26, 1975; 49 years ago (1975-05-26)",['Rob Bredow (CCO) Janet Lewin (General Manager)Dennis Muren (Consulting Creative Director)'],,"1,200 (2024)[2]",ilm.com,https://en.wikipedia.org/wiki/Industrial_Light_%26_Magic,['ILM VancouverILM LondonILM SydneyILM Mumbai[8]ILM Singapore (Closed)'],,,
Kerner Optical,"Visual effects, Film production","Kerner Blvd,San Rafael, California, United States",,,,August 2006,['Eric Edmeades'],,,,https://en.wikipedia.org/wiki/Kerner_Optical,,,,
Lucasfilm Animation,"Animation, computer-generated imagery","Letterman Digital Arts CenterSan Francisco, California, United States",,Lucas Valley,,"March 3, 2003; 21 years ago (2003-03-03)","['Dave Filoni', 'Athena Portillo']",,,,https://en.wikipedia.org/wiki/Lucasfilm_Animation,['Lucasfilm Animation Singapore (2005–2023)'],,,
Netflix,Entertainmentmass media,"Los Gatos, California, U.S.",164.0,,,,,,,,https://en.wikipedia.org/wiki/Netflix,,,"['Film production', 'film distribution', 'television production', 'television distribution']",
Niantic,Video gamesTechnology,"San Francisco, California, U.S.",,,,2010; 14 years ago (2010),"['John Hanke (CEO)', 'Dennis Hwang (art director)', 'Tatsuo Nomura (director)']",,~800[1],nianticlabs.com,"https://en.wikipedia.org/wiki/Niantic,_Inc.","['Escher Reality', 'Matrix Mill', 'Seismic Games', 'Sensible Object', 'Lowkey', '8th Wall', 'NZXR']",,,
Pandora Radio,Entertainment,"Oakland, California, U.S.",,,,"January 2000; 24 years ago (2000-01) (as Savage Beast Technologies)Oakland, California, U.S.",,,,,https://en.wikipedia.org/wiki/Pandora_Radio,"['Rdio (as of December 22', '2015)\nNext Big Sound (as of November 1', '2021) \nAdswizz (as of May 29', '2018) \n\nStitcher (as of August 29', '2023)']",,['Internet radio'],
Philo,Pay television,"San Francisco, California, U.S.",,,,2009; 15 years ago (2009) (as Tivli),,,,,https://en.wikipedia.org/wiki/Philo_(company),,,['OTT Internet TV MVPD'],
Pixar,Animation,"1200 Park Avenue, Emeryville, California, U.S.",,,,"February 3, 1986; 38 years ago (1986-02-03) in Richmond, California","['Jim Morris (CEO & President)', 'Pete Docter (CCO)']",,"1,233 (2020)",www.pixar.com,https://en.wikipedia.org/wiki/Pixar,,"['Edwin Catmull', 'Alvy Ray Smith']",,
Roblox Corporation,Video games,"San Mateo, California, U.S.",,,NYSE: RBLX (Class A)Russell 1000 component,"2004; 20 years ago (2004) in Menlo Park, California, U.S.",['David Baszucki (CEO)'],US$2.80 billion (2023),"2,457 (2023)",corp.roblox.com,https://en.wikipedia.org/wiki/Roblox_Corporation,"['Bash Video', 'Guilded, Inc.', 'Loom.ai', 'PacketZoom', 'Hamul', 'TriplePlay', 'Byfron Technologies', 'Speechly', 'Imbellus, Inc.', 'Jido, Inc.']","['David Baszucki', 'Erik Cassel']",,
Sega of America,Video games,"Shinagawa, Tokyo, Japan",,,,"June 3, 1960; 64 years ago (June 3, 1960)","['Haruki Satomi\xa0[jp] (chairman and CEO)', 'Shuji Utsumi\xa0[jp] (president and COO)', 'Yukio Sugino\xa0[jp] (vice president and COO)']",¥247.7 billion (2020),"3,155 (March 31, 2024)[1]",sega.co.jp,https://en.wikipedia.org/wiki/Sega,"['Atlus', 'Sega Sapporo Studio', 'Sega Fave', 'TMS Entertainment', 'Marza Animation Planet', 'Play Heart', 'Sega XD']","['Martin Bromley', 'Richard Stewart']",,
Skywalker Sound,"Sound effects, Sound editing and Remastering","Skywalker Ranch, Lucas Valley, California, United States",,Lucas Valley,,"September 7, 1975; 49 years ago (1975-09-07)",['Josh Lowden (General Manager of Skywalker Sound)Leslie Ann Jones'],,160,skysound.com,https://en.wikipedia.org/wiki/Skywalker_Sound,,,,
Sony Interactive Entertainment (PlayStation),Video games,"San Mateo, California, United States
37°33′38″N 122°17′03″W﻿ / ﻿37.56056°N 122.28417°W﻿ / 37.56056; -122.28417",,,,"1993; 31 years ago (1993) (as Sony Computer Entertainment)
April 1, 2016; 8 years ago (2016-04-01) (as Sony Interactive Entertainment)","['Hiroki Totoki (chairman)', 'Hideaki Nishino (CEO, Platform Business Group)', 'Hermen Hulst (CEO, Studio Business Group)']",US$29.8 billion[1] (FY2023),"12,700[2] (2023)",sonyinteractive.com,https://en.wikipedia.org/wiki/Sony_Interactive_Entertainment,"['Audeze', 'Audiokinetic', 'Bungie', 'Evolution Championship Series (50%)', 'Gaikai', 'iSize', 'PlayStation Productions', 'Repeat.gg', 'SN Systems']",,"['PlayStation Network', 'PlayStation Store', 'PlayStation Plus', 'PlayStation Stars']",
Ubisoft,Video games,"Saint-Mandé, France[2]",,,Euronext Paris: UBICAC Next 20 component,28 March 1986; 38 years ago (1986-03-28),"['Yves Guillemot (chairman, CEO)', 'Frédérick Duguet (CFO)']",€2.300 billion[3] (2024),"18,666[4] (2024)",ubisoft.com,https://en.wikipedia.org/wiki/Ubisoft,['See List of Ubisoft subsidiaries'],"['Christian Guillemot', 'Claude Guillemot', 'Gérard Guillemot', 'Michel Guillemot', 'Yves Guillemot']",['Ubisoft Connect'],
Zynga,Video games,"San Mateo, California, United States",,,Nasdaq: ZNGA (2011–2022),April 2007; 17 years ago (2007-04),"['Mark Pincus (executive chairman)', 'Frank Gibeau (CEO)']",,"2,952 (2021)",www.zynga.com,https://en.wikipedia.org/wiki/Zynga,,"['Mark Pincus', 'Justin Waldron', 'Eric Schiermeyer', 'Michael Luxton', 'Steve Schoettler']",,
Bill.com,Financial technology,"San Jose, California, U.S.",,,NYSE: BILLRussell 1000 component,"April 2006; 18 years ago (2006-04) as Cashboard, Inc.",['René Lacerte (CEO)'],US$1.29 billion (2024),"2,187 (2024)",bill.com,https://en.wikipedia.org/wiki/Bill.com,['Invoice2go'],,,
"Block, Inc.","List of industries
Financial servicesPoint of saleE-commerceDigital walletBuy now, pay laterMusic streaming",No headquarters[2]: 16,,,NYSE: SQ (Class A)Russell 1000 componentASX: SQ2 (Block Inc CDI),"February 14, 2009; 15 years ago (2009-02-14)","['Jack Dorsey (Chairperson, Principal Executive Officer)[a]', 'Amrita Ahuja (CFO, COO)']",US$21.92 billion (2023),"12,985 (2023)",block.xyz,"https://en.wikipedia.org/wiki/Square,_Inc.","['Square Fin. Services, Inc.', 'Afterpay Australia Pty Ltd', 'TIDAL Music AS', 'Aspiro AB', 'Clearpay Finance Ltd']",,"['Electronic point of sale', 'E-commerce management', 'Small business financing', 'Digital wallet', 'Personal loans', 'Buy now, pay later', 'Investing in stocks, bitcoin', 'Bitcoin wallet', 'Bitcoin mining', 'Music streaming']",
Brex,Fintech,No headquarters[1],,,,"January 3, 2017; 7 years ago (January 3, 2017)","['Henrique Dubugras', '(Chairman)', 'Pedro Franceschi', '(CEO)']",,"Approximately 1,200 (2024)[3]",brex.com,https://en.wikipedia.org/wiki/Brex,,"['Henrique Dubugras', 'Pedro Franceschi']",,
Calypso Technology,FintechInformation technology,"London, UKNew York City, US",,,,1997; 27 years ago (1997),,,,adenza.com,https://en.wikipedia.org/wiki/Calypso_Technology,,,,
Coinbase,Cryptocurrency,No physical offices[a],,,Nasdaq: COIN (Class A)Russell 1000 component,"June 2012; 12 years ago (2012-06), in San Francisco, California, U.S.[1]","['Brian Armstrong (chairman & CEO)', 'Emilie Choi (president & COO)', 'Alesia Haas (CFO)']",US$3.11 billion (2023),"3,416 (2023)",Official website,https://en.wikipedia.org/wiki/Coinbase,,"['Brian Armstrong', 'Fred Ehrsam']",,
FICO (Fair Isaac Corporation),Computer,"Bozeman, Montana, U.S.",,,NYSE: FICOS&P 500 component,"1956; 68 years ago (1956) (as Fair, Isaac, and Company)","['William Lansing', '(CEO)[1]', 'Bill Fair', '(co-founder)', 'Earl Isaac', '(co-founder)']",US$1.295 billion (2020),"3,305 (December 31, 2022)",fico.com,https://en.wikipedia.org/wiki/FICO,,,['Computer software'],
Fireman's Fund Insurance Company,Insurance,"Petaluma, California, United States",,now Allianz Global Corporate & Specialty,,1863; 161 years ago (1863),,,,,https://en.wikipedia.org/wiki/Fireman%27s_Fund_Insurance_Company,,,"['home owners', 'business office policies', 'workers compensation', 'excess liability', 'auto', 'farm and ranch coverage']",
First Republic Bank,Financial services,"San Francisco, California, U.S.",,,Expert Market: FRCBNYSE: FRC (2010–2023)Nasdaq: FRBC (1986–2007),"February 5, 1985; 39 years ago (1985-02-05)","['James H. Herbert II (executive chairman)', 'Michael J. Roffler (CEO and president)']",US$6.75 billion (2022),"7,213 (2022)",firstrepublic.com,https://en.wikipedia.org/wiki/First_Republic_Bank,['Gradifi'],,,
Fisher Investments,Financial services,"Plano, Texas, U.S.",,,,1979; 45 years ago (1979),"['Damian Ornani (CEO)', 'Jill Hitchcock (Senior EVP US Private Client Group)', 'Carrianne Coffey (Senior EVP Fisher Investments International)', 'Justin Arbuckle (Senior EVP Fisher Investments Institutional Group)']",,"5,200 (2023)",www.fisherinvestments.com/en-us,https://en.wikipedia.org/wiki/Fisher_Investments,"['Fisher Investments Europe', 'Grüner Fisher Investments GmbH']",,['Asset management'],
Franklin Templeton Investments,Financial servicesInvestment management,"San Mateo, California, U.S.",493.0,,NYSE: BENS&P 500 component,"1947; 77 years ago (1947) in New York City, U.S.","['Jennifer M. Johnson (president and CEO)', 'Gregory E. Johnson (executive chairman)', 'Rupert H. Johnson Jr.  (vice chairman)']",US$7.85 billion (2023),"9,200 (2023)",franklinresources.com,https://en.wikipedia.org/wiki/Franklin_Templeton_Investments,"['Clarion Partners', 'ClearBridge Investments', 'Fiduciary Trust Company International', 'K2 Advisors', 'Legg Mason', 'Lexington Partners', 'Putnam Investments', 'Royce Investment Partners', 'Western Asset Management Company']",,,
Lending Club,Financial services,"595 Market StreetSan Francisco,[4] California, U.S.",,,NYSE: LCRussell 2000 component,2006; 18 years ago (2006)[1],"['Scott Sanborn', 'CEO & president[1]']",US$865 million (2022)[5],"1,025 (2023)[5]",lendingclub.com,https://en.wikipedia.org/wiki/Lending_Club,['LendingClub Bank'],"['Renaud Laplanche[2]', 'Soul Htite[3]']","['Peer-to-peer lending', 'Fintech']",
Patelco Credit Union,Financial services,"Dublin, California, United States",,,,1936,"['Erin Mendez', 'President/CEO\nBoard of DirectorsPeter Hanelt', 'ChairmanJohn Rubino', 'First Vice ChairmanJesse Rivera', 'Second Vice ChairmanTracy Scott', 'SecretaryColleen Cabey', 'TreasurerGene Bell', 'DirectorRace Chen', 'DirectorJeff Parks', 'DirectorVickie Rath', 'DirectorGerald Upson', 'DirectorGarick Zillgitt', 'Director']",,750,patelco.org,https://en.wikipedia.org/wiki/Patelco_Credit_Union,,,['Savings; checking; online banking; consumer loans; mortgages; credit cards; investments; insurance'],
PayPal,Financial technology,"San Jose, California, U.S.",182.0,,Nasdaq: PYPLNasdaq-100 componentS&P 100 componentS&P 500 component,December 1998; 26 years ago (1998-12) (as Confinity)October 1999; 25 years ago (1999-10) (as X.com)March 2000; 24 years ago (2000-03) (as PayPal),"['John Donahoe (chairman)', 'Alex Chriss (president and CEO)[1]']",US$29.77 billion (2023),"27,200 (2023)",paypal.com,https://en.wikipedia.org/wiki/PayPal,"['Braintree', 'PayPal Honey', 'Paydiant', 'PayPal Credit', 'Tradera', 'Venmo', 'Xoom Corporation', 'Zettle']","['Ken Howery', 'Max Levchin', 'Luke Nosek', 'Yu Pan', 'Peter Thiel', 'Elon Musk', 'Harris Fricker', 'Christopher Payne', 'Ed Ho']",,
Robert Half International,"Employment agency, Professional services","Menlo Park, California, U.S.San Ramon, California, U.S.",482.0,,NYSE: RHIS&P 600 component,March 1948; 76 years ago (1948-03) in New York City[1][2],"['Harold M. ""Max"" Messmer (Executive Chairman)', 'M. Keith Waddell (President & CEO)']",US$$7.24 billion (2022),"approx. 15,000 (including Protiviti) (December 2023)",www.roberthalf.com,https://en.wikipedia.org/wiki/Robert_Half_International,['Protiviti'],['Bob and Maxine Half'],"['Employment agencies', 'recruitments', 'human resource consulting and outsourcing']",
Robinhood,Financial services,"Menlo Park, California, U.S.",,,Nasdaq: HOOD (Class A)Russell 1000 component,"April 18, 2013; 11 years ago (2013-04-18)",['Vladimir Tenev (CEO)'],US$1.865 billion (2023),"c. 2,200 (2023)",robinhood.comsherwood.news,https://en.wikipedia.org/wiki/Robinhood_(company),,"['Vladimir Tenev', 'Baiju Bhatt']","['Stockbroker', 'Electronic trading platform']",
SigFig,Financial,San Francisco,,,,,,,,,https://en.wikipedia.org/wiki/SigFig_(company),,,,
Silicon Valley Bank,Financial services,"Santa Clara, California, U.S.",,,,"October 17, 1983; 41 years ago (1983-10-17)[1]","['Tim Mayopoulos (CEO, SVBB N.A.)\nMarc Cadieux (President)\nGregory W. Becker (former CEO)\nRoger F. Dunbar (former chairman)\nMichael R. Descheneaux (former President)', 'Tim Mayopoulos (CEO, SVBB N.A.)', 'Marc Cadieux (President)', 'Gregory W. Becker (former CEO)', 'Roger F. Dunbar (former chairman)', 'Michael R. Descheneaux (former President)']",,"8,553 (December 2022)[6]",svb.com,https://en.wikipedia.org/wiki/Silicon_Valley_Bank,,"['Bill Biggerstaff', 'Robert Medearis', 'Roger Smith[2]']",,
SoFi,Personal financeDirect bankingBanking as a service,"San Francisco, California, U.S.",,,Nasdaq: SOFIRussell 1000 component,August 2011; 13 years ago (2011-08),"['Anthony Noto (CEO)', 'Chris Lapointe (CFO)']",US$2.12 billion (2023),"c. 4,400 (2023)",sofi.com,https://en.wikipedia.org/wiki/SoFi,"['Galileo Fin. Tech. LLC', 'Social Finance Inc.', 'SoFi Bank N.A.', 'SoFi Lending Corp.']","['Mike Cagney', 'Dan Macklin', 'James Finnigan', 'Ian Brady']","['Online lending', 'Mobile & online banking', 'Stockbroking', 'Insurance broking', 'Wealth management', 'Banking as a service']",
TPG Sixth Street Partners,Investment Company,"Letterman Digital Arts CenterSan Francisco, California, U.S.",,,,2009; 15 years ago (2009),['Alan Waxman (CEO)[1]'],,,sixthstreet.com,https://en.wikipedia.org/wiki/TPG_Sixth_Street_Partners,,"['Alan Waxman', 'Clint Kollar', 'David Stiepleman', 'Vijay Mohan', 'Joshua Easterly', 'Michael Muscolino', 'Matt Dillard', 'Bornah Moghbel', 'Steven Pluss']",,
"Visa, Inc.",Payment cards services,"San Francisco, California, U.S.[2]",137.0,,NYSE: V (Class A)DJIA componentS&P 100 componentS&P 500 component,"September 18, 1958; 66 years ago (1958-09-18) (as BankAmericard in Fresno, California, U.S.)","['Ryan McInerney (CEO)[3]', 'John F. Lundgren (chairman)', 'Oliver Jenkyn (group president & Global Markets)', 'Kelly Mahon Tullier (vice chair & CPO)', 'Chris Suh (CFO)']",US$35.93 billion (2024),"31,600 (2024)",visa.com,"https://en.wikipedia.org/wiki/Visa,_Inc.",,,,
Wells Fargo Bank,Financial services,"Sioux Falls, South Dakota, U.S. (legal)[4]San Francisco, California, U.S. (corporate)[5]30 Hudson Yards[1]New York, NY 10001U.S. (executive)[2][3]",30.0,,NYSE: WFCS&P 100 componentS&P 500 component,"January 24, 1929 (95 years ago) (1929-01-24) in Minneapolis, Minnesota, U.S. (as Northwest Bancorporation)April 1983 (as Norwest Corporation)November 2, 1998 (as Wells Fargo & Company)","['Steven Black (chairman)', 'Charles Scharf (president and CEO)']",US$73.8 billion (2022),"238,698 (2022)",wellsfargo.com,https://en.wikipedia.org/wiki/Wells_Fargo_Bank,"['Wells Fargo Advisors', 'Wells Fargo Bank, N.A.', 'Wells Fargo Rail', 'Wells Fargo Securities', 'Wachovia', 'First Union', 'CoreStates Financial']","['Henry Wells', 'William Fargo']",,
Yodlee,Financial,"Redwood City, California, United States",,,,1999; 25 years ago (1999),['Farouk Ferchichi(President)Stuart DePina(Former President)Anil Arora(Ex CEO)'],,,,https://en.wikipedia.org/wiki/Yodlee,,,,
21st Amendment Brewery,Alcoholic beverage,"2010 Williams St San Leandro, California, US",,,,2000,,,,21st-amendment.com,https://en.wikipedia.org/wiki/21st_Amendment_Brewery,,,,
"Anchor Brewers & Distillers, LLC",Alcoholic beverages,"Potrero Hill, San Francisco, California, United States37°45′49″N 122°24′02″W﻿ / ﻿37.7636°N 122.4005°W﻿ / 37.7636; -122.4005",,,,1896,"['Frederick Louis Maytag III', 'Joseph Kraus', 'August Meyer', 'Henry Tietjen', 'Mark Carpenter', 'Joe Allen', 'Jim Glowner', 'Lawrence Steese']",,,anchorbrewing.com,https://en.wikipedia.org/wiki/Anchor_Brewing_Company,,,,
Annabelle Candy Company,Chocolate and candy manufacturer,"27211 Industrial Blvd., Hayward, California, U.S.",,,,1950,,,,www.annabellecandy.com,https://en.wikipedia.org/wiki/Annabelle_Candy_Company,,,,
Annie's Homegrown,Organic products,"Berkeley, California, U.S.",,,,"1989; 35 years ago (1989)Hampton, Connecticut, U.S.",['Annie Withey'],,,www.annies.com,https://en.wikipedia.org/wiki/Annie%27s_Homegrown,,,,
Black Angus Steakhouse,Restaurants,"Burbank, California, United States",,,,"April 3, 1964; 60 years ago (1964-04-03)Los Altos, California",['Stuart Anderson (founder)'],$150 million (2017),,www.blackangus.com,https://en.wikipedia.org/wiki/Black_Angus_Steakhouse,,['Stuart Anderson'],,
Blue Bottle Coffee,Coffee industry,"Oakland, California, U.S.",,,,2002; 22 years ago (2002),"['W. James Freeman', 'Founder Karl Strovink', 'CEO']",,,bluebottlecoffee.com,https://en.wikipedia.org/wiki/Blue_Bottle_Coffee,,,,
C&H Pure Cane Sugar,Sugar,"Crockett, California, U.S.",,,,1906,['David Koncelik(CEO)[1]'],,,http://www.chsugar.com,https://en.wikipedia.org/wiki/California_and_Hawaiian_Sugar_Company,,,,
Clif Bar,Food and drink,"Emeryville, California, United States",,,,1992; 32 years ago (1992),"['Gary Erickson', 'Kit Crawford (co-owners and co-CEOs)']",,,clifbar.com,https://en.wikipedia.org/wiki/Clif_Bar,,,,
Columbus Salame,Food processing,"Hayward, California",,,,1917,['Joe Ennen (CEO)[1]'],,,www.columbuscraftmeats.com,https://en.wikipedia.org/wiki/Columbus_Salame,,['Peter DomeniciEnrico Parducci'],,
Dreyer's Grand Ice Cream,Dairy,"Oakland, California, United States",,,,1928; 96 years ago (1928),"['Kim Peddle-Rguem', 'CEO']",,"2,400+ (2020)",www.icecream.com,https://en.wikipedia.org/wiki/Dreyer%27s_Grand_Ice_Cream,,,,
Extreme Pizza,Restaurant,"San Francisco, California",,,,1994; 30 years ago (1994),,,,extremepizza.com,https://en.wikipedia.org/wiki/Extreme_Pizza,,,,
F'real,Food and drink,Emeryville,,,,,,,,,,,,,
Ghirardelli Chocolate Company,Food and drink,"San Leandro, California, US",,,,"1852; 172 years ago (1852)San Francisco, California, US",,,,www.ghirardelli.com,https://en.wikipedia.org/wiki/Ghirardelli_Chocolate_Company,,,,
Häagen-Dazs,Retail,"Minneapolis, Minnesota, U.S.",,,,"1960; 64 years ago (1960) in Bronx, New York, U.S.",,,,www.icecream.com/us/en/brands/haagen-dazs,https://en.wikipedia.org/wiki/H%C3%A4agen-Dazs,,,,
Il Fornaio,Restaurants,"Corte Madera, California, United States",,,,"1972; 52 years ago (1972) in Barlassina, Lombardia, Italy",['Michael Beatrice (CEO)'],US$120 million (2000),,www.ilfornaio.com,https://en.wikipedia.org/wiki/Il_Fornaio,,,['Fine dining restaurant'],
Impossible Foods,Food,"Redwood City, California, US",,,,2011; 13 years ago (2011),['Dennis Woodside (President)[1] Peter McGuinness (CEO)[2]'],,,ImpossibleFoods.com,https://en.wikipedia.org/wiki/Impossible_Foods,,,,
