name,industry,headquarters,fortune_500_rank,notes,traded_as,founded,key_people,revenue,employees,website,wikipedia_url,subsidiaries,founders,services,type
Montgomery Securities,Companies formerly based in the San Francisco Bay Area,"San Francisco, California",,,,1978,,,,,https://en.wikipedia.org/wiki/Montgomery_Securities,,,,
National Semiconductor,Semiconductors,"Santa Clara, California,United States",,,,"May 27, 1959; 65 years ago (1959-05-27) in Danbury, Connecticut, United States","['Donald Macleod', 'Chairman & CEO']",$1.42 billion USD (2010),"5,800 (2010)",https://nationalsemiconductor.com/ [dead link‍],https://en.wikipedia.org/wiki/National_Semiconductor,,,,
NUMMI,Automotive,"Fremont, California, United States",,defunct,,December 1984 (December 1984),,,"5,500 (2006)",nummi.com (defunct),https://en.wikipedia.org/wiki/NUMMI,,,['Automotive manufacturing'],
Oracle,Enterprise softwareBusiness softwareCloud computingComputer hardwareConsulting,"Austin, Texas, United States30°14′34″N 97°43′18″W﻿ / ﻿30.2428699°N 97.7216941°W﻿ / 30.2428699; -97.7216941",82.0,,NYSE: ORCLS&P 100 componentS&P 500 component,"June 16, 1977; 47 years ago (1977-06-16), in Santa Clara, California, United States[1]","['Larry Ellison (executive chairman & CTO)', 'Jeff Henley (vice chairman)', 'Safra Catz (CEO)']",US$52.96 billion (2024),"c. 159,000 (2024)",oracle.com,https://en.wikipedia.org/wiki/Oracle_Corporation,['List of Oracle subsidiaries'],"['Larry Ellison', 'Bob Miner', 'Ed Oates[2]']",,
Pacific Telesis,Telecommunications,"San Francisco, California, United States",,,NYSE: PAC[2],1983; 41 years ago (1983),['Chuck Smith (former CEO)Ray Wilkins (former CEO)'],,,,https://en.wikipedia.org/wiki/Pacific_Telesis,,,,
Pegasus Aviation Finance Company,Aircraft leasing and sales,"Dublin, Ireland",,,,1985,,,,www.awas.com,https://en.wikipedia.org/wiki/Pegasus_Aviation_Finance_Company,,,,
Peterbilt Motors,Manufacturing,"Denton, Texas, U.S.",,,,1939; 85 years ago (1939),,,,www.peterbilt.com,https://en.wikipedia.org/wiki/Peterbilt_Motors,,,,
Pier 1,"E-commerce, retail","Fort Worth, Texas, U.S.",,,NYSE: PIR (1970–2020),"1962; 62 years ago (1962) (as Cost Plus Imports)San Mateo, California, U.S.","['Robert Riesbeck', 'CEO[1]\nCheryl Bachelder', 'Interim CEO[2]']",US$1.553 billion (FY2019),"18,000 (March 2019)[3]",www.pier1.com,https://en.wikipedia.org/wiki/Pier_1,,,,
Qume,Computer peripherals,Hayward,,defunct,,"1973; 51 years ago (1973) in Hayward, California, United States",,,,,https://en.wikipedia.org/wiki/Qume,,"['David S. Lee', 'Robert E. Schroeder']",,
Robertson Stephens,Financial services,"San Francisco, California",,,,1971,,,,,https://en.wikipedia.org/wiki/Robertson_Stephens,,,,
Rolling Stone,Companies formerly based in the San Francisco Bay Area,"relocated to New York City, New York",,,,,,,,rollingstone.com,https://en.wikipedia.org/wiki/Rolling_Stone,,,,
SanDisk,Storage devices,"Milpitas, California, United States",,,Nasdaq: SNDK,"June 1, 1988; 36 years ago (1988-06-01)[1]",,,"8,790",shop.sandisk.com,https://en.wikipedia.org/wiki/SanDisk,,['Eli HarariSanjay MehrotraJack Yuan'],,
Scharffen Berger Chocolate Maker,Food,"Ashland, Oregon, United States",,,,1996; 28 years ago (1996),,,,scharffenberger.com,https://en.wikipedia.org/wiki/Scharffen_Berger_Chocolate_Maker,,,,
Six Apart,Software & Programming,"Tokyo, Japan",,,,"September 2001; 23 years ago (2001-09) in San Francisco, California, U.S. (original)
January 2011; 13 years ago (2011-01) in Tokyo, Japan (current incarnation)","['Nobuhiro Seki', 'CEO']",,,www.sixapart.comwww.sixapart.jp,https://en.wikipedia.org/wiki/Six_Apart,,['Benjamin TrottMena Grabowski Trott'],,
Southern Pacific,Companies formerly based in the San Francisco Bay Area,"San Francisco, California",,,,,,,,,https://en.wikipedia.org/wiki/Southern_Pacific_Railroad,,['William Tell ColemanTimothy Guy PhelpsWilliam RosecransLeland Stanford'],,
Swensen's Ice Cream,Restaurant,"210 Shields Court, Markham, Ontario, Canada",,,,"San Francisco, California, United States (1948; 76 years ago (1948))[1]",,,,www.swensensicecream.com,https://en.wikipedia.org/wiki/Swensen%27s,,,,
Tesla,AutomotiveRenewable energy,"Austin, Texas, U.S.",124.0,,Nasdaq: TSLANasdaq-100 componentS&P 100 componentS&P 500 component,"July 1, 2003; 21 years ago (2003-07-01) in San Carlos, California, U.S.","['Robyn Denholm (chair)', 'Elon Musk (CEO)']",US$96.8 billion (2023),"140,473 (2023)",tesla.com,"https://en.wikipedia.org/wiki/Tesla,_Inc.","['Tesla Automation', 'Tesla Energy']",['Martin EberhardMarc Tarpenning(See § Founding)'],"['Charging', 'insurance', 'maintenance']",
Transamerica,InsuranceInvestmentsRetirement planning,"Cedar Rapids, Iowa, US",,,,1928; 96 years ago (1928),['Will Fuller (CEO)'],,"6,800 (2023)",www.transamerica.com,https://en.wikipedia.org/wiki/Transamerica_Corporation,,,,
United Commercial Bank,Finance and Insurance,"San Francisco, California, U.S.",,,,"1974; 50 years ago (1974)  San Francisco, California",,$583.3 million USD ( $100.9M FY 2006),"1,318",http://www.ibankunited.com/home.html,https://en.wikipedia.org/wiki/United_Commercial_Bank,,,,
URS Corporation,EngineeringArchitectureConstructionPlanningManagementInformation TechnologyOperationsDecommissioning,"Transamerica PyramidSan Francisco, California, United States",,,,1951; 73 years ago (1951),['Martin M. Koffel (CEO from 1989 to 2014)'],US$ 10.6 billion (2012),"56,000  (2012)",,https://en.wikipedia.org/wiki/URS_Corporation,,,,
Victoria's Secret,Apparel,"Reynoldsburg, Ohio, U.S.",,,NYSE: VSCOS&P 600 component,"June 12, 1977; 47 years ago (1977-06-12)Stanford Shopping Center, Palo Alto, California, U.S.[1]","['Hillary Super (CEO)', 'Greg Unis (president)', 'Dein Boyle (COO)']",US$11.84 billion (2021)[3],,victoriassecret.com,https://en.wikipedia.org/wiki/Victoria%27s_Secret,,"['Roy Raymond', 'Gaye Raymond[2]']",,
Virgin America,Companies formerly based in the San Francisco Bay Area,"Burlingame, California, U.S.",,,,"January 26, 2004 (2004-01-26)","['C. David Cush (CEO)', 'Donald J. Carty (Chairman)', 'Richard Branson (minority owner)']",US$1.529 billion (2015),,,https://en.wikipedia.org/wiki/Virgin_America,,,,
X Corp.,"Technology
Social media
Internet","Bastrop, Texas, United States",,,,"March 9, 2023; 20 months ago (2023-03-09)[a]","['Elon Musk (Chairman, CTO)', 'Linda Yaccarino (CEO)', 'Mahmoud Reza Banki (CFO)']",US$2.5 billion (2023)[2],"c. 1,500 (August 2023)[3]",about.x.com,https://en.wikipedia.org/wiki/X_Corp.,['X Payments LLC[4]'],,['X (formerly Twitter)'],
Yahoo!,Companies formerly based in the San Francisco Bay Area,"Sunnyvale, California, United States",353.0,,,January 1994; 30 years ago (1994-01),,$7.4 billion (2020)[1],,,https://en.wikipedia.org/wiki/Yahoo!,,,,
